versao,execucao,iteracoes,num_formigas,tempo_total,melhor_distancia
centralizado,1,100,5,0.038129699998535216,76
centralizado,2,100,5,0.04152769999927841,74
centralizado,3,100,5,0.03693250002106652,73
centralizado,4,100,5,0.03642790002049878,74
centralizado,5,100,5,0.03739739998127334,74
centralizado,6,100,5,0.0329660999996122,72
centralizado,7,100,5,0.033110199990915135,73
centralizado,8,100,5,0.02954620000673458,73
centralizado,9,100,5,0.03755700000328943,75
centralizado,10,100,5,0.04613989999052137,75
centralizado,11,100,5,0.03677659999812022,73
centralizado,12,100,5,0.037842199992155656,73
centralizado,13,100,5,0.04334030000609346,73
centralizado,14,100,5,0.0412691000092309,73
centralizado,15,100,5,0.0362885000067763,73
centralizado,16,100,5,0.03767099999822676,74
centralizado,17,100,5,0.03329749999102205,73
centralizado,18,100,5,0.028740599984303117,74
centralizado,19,100,5,0.029431400005705655,75
centralizado,20,100,5,0.03289939998649061,75
distribuido,1,100,5,2.26,73.0
distribuido,2,100,5,2.32,74.0
distribuido,3,100,5,2.3,73.0
distribuido,4,100,5,2.32,74.0
distribuido,5,100,5,2.33,73.0
distribuido,6,100,5,2.29,73.0
distribuido,7,100,5,2.37,73.0
distribuido,8,100,5,2.33,73.0
distribuido,9,100,5,2.35,73.0
distribuido,10,100,5,2.33,73.0
distribuido,11,100,5,2.37,73.0
distribuido,12,100,5,2.32,73.0
distribuido,13,100,5,2.34,73.0
distribuido,14,100,5,2.31,73.0
distribuido,15,100,5,2.29,73.0
distribuido,16,100,5,2.31,74.0
distribuido,17,100,5,2.36,72.0
distribuido,18,100,5,2.29,73.0
distribuido,19,100,5,2.33,73.0
distribuido,20,100,5,2.32,74.0
